"draw","start","end","net_change","net_proportional","currency","identifier","k"
39,427.18818595773,1033.58435155397,606.396165596241,1.41950593562586,"scaled_energy","bbs_rtrg_1_14",5
40,438.069357371475,1085.27544205425,647.206084682779,1.47740551534163,"scaled_energy","bbs_rtrg_1_14",5
41,417.454279007626,1039.61812937453,622.163850366903,1.49037602835432,"scaled_energy","bbs_rtrg_1_14",5
42,419.423475317936,1042.45012945806,623.026654140121,1.4854358203671,"scaled_energy","bbs_rtrg_1_14",5
43,414.245812693595,1058.46271461997,644.216901926376,1.55515609859135,"scaled_energy","bbs_rtrg_1_14",5
44,422.382804697468,1072.57439193488,650.191587237412,1.53934199026666,"scaled_energy","bbs_rtrg_1_14",5
45,434.907228925534,1078.31472710402,643.407498178485,1.47941320673851,"scaled_energy","bbs_rtrg_1_14",5
46,436.959732699638,1113.55015663438,676.590423934744,1.54840451717281,"scaled_energy","bbs_rtrg_1_14",5
47,415.401795756761,1057.85159603456,642.4498002778,1.54657444151731,"scaled_energy","bbs_rtrg_1_14",5
48,430.452381518438,1067.17437719529,636.721995676852,1.47919264247253,"scaled_energy","bbs_rtrg_1_14",5
49,423.290348694109,1058.60231837351,635.311969679405,1.50088933432903,"scaled_energy","bbs_rtrg_1_14",5
50,412.986791206257,1048.883483407,635.896692200746,1.5397506790554,"scaled_energy","bbs_rtrg_1_14",5
51,439.392121805061,1067.50548466116,628.1133628561,1.42950529079983,"scaled_energy","bbs_rtrg_1_14",5
52,417.999185027035,1084.21477842654,666.215593399503,1.59382031655496,"scaled_energy","bbs_rtrg_1_14",5
53,419.941480151127,1074.4105211494,654.469040998272,1.55847676862677,"scaled_energy","bbs_rtrg_1_14",5
54,421.636675546999,1030.55871454775,608.922039000754,1.44418660499774,"scaled_energy","bbs_rtrg_1_14",5
55,412.259453286555,1048.13523286978,635.875779583225,1.54241649163891,"scaled_energy","bbs_rtrg_1_14",5
56,441.094849513786,1091.01308368816,649.918234174377,1.47342059171803,"scaled_energy","bbs_rtrg_1_14",5
57,416.71980106506,1052.42901297711,635.709211912053,1.52550757196394,"scaled_energy","bbs_rtrg_1_14",5
58,427.790957719187,1092.86703875342,665.076081034235,1.55467540637175,"scaled_energy","bbs_rtrg_1_14",5
59,435.82691618513,1088.87527039733,653.048354212199,1.4984121676753,"scaled_energy","bbs_rtrg_1_14",5
60,406.043964469179,1075.80756833466,669.76360386548,1.64948543131545,"scaled_energy","bbs_rtrg_1_14",5
61,418.457316124545,1069.29897166436,650.841655539817,1.55533582628558,"scaled_energy","bbs_rtrg_1_14",5
62,426.032292045879,1058.7333375786,632.701045532725,1.48510114689755,"scaled_energy","bbs_rtrg_1_14",5
63,421.021377889943,1050.47943900772,629.458061117774,1.49507387076748,"scaled_energy","bbs_rtrg_1_14",5
64,402.33078590209,1046.93482129636,644.604035394269,1.60217427545089,"scaled_energy","bbs_rtrg_1_14",5
65,437.498998134726,1051.84818225644,614.34918412171,1.40422992221921,"scaled_energy","bbs_rtrg_1_14",5
66,420.947610549561,1076.14591076638,655.198300216824,1.55648418899787,"scaled_energy","bbs_rtrg_1_14",5
67,412.620314925269,1049.79137839774,637.171063472475,1.54420672086365,"scaled_energy","bbs_rtrg_1_14",5
68,432.073972092493,1084.01854790462,651.944575812124,1.50887259571508,"scaled_energy","bbs_rtrg_1_14",5
69,425.227550592545,1090.30293499365,665.075384401105,1.56404584668688,"scaled_energy","bbs_rtrg_1_14",5
70,432.435598791646,1067.87983291414,635.444234122499,1.46945403176362,"scaled_energy","bbs_rtrg_1_14",5
71,418.013326332877,1034.4076294161,616.394303083226,1.47458050797254,"scaled_energy","bbs_rtrg_1_14",5
72,418.213225214782,1068.61086160594,650.397636391156,1.55518189568761,"scaled_energy","bbs_rtrg_1_14",5
73,420.328819073031,1060.82792134262,640.499102269594,1.52380487181943,"scaled_energy","bbs_rtrg_1_14",5
74,427.040318997386,1050.96028835159,623.919969354207,1.46103293201696,"scaled_energy","bbs_rtrg_1_14",5
